,L_1_values,L_inf_values
317,4.4830244233962924e-05,2.1726463083403277e-06
318,4.444951969091298e-05,2.1621392028516464e-06
319,4.4595131080395835e-05,2.1561663034511e-06
320,4.497869417561055e-05,2.136923041303381e-06
321,4.5911458880031305e-05,2.2934956503315603e-06
322,4.44860530618478e-05,2.106286070468284e-06
323,4.510658551059279e-05,2.1960385434240323e-06
324,4.480864656729791e-05,2.1163559515639424e-06
325,4.486626999428783e-05,2.1140361609275387e-06
326,4.5724564944211385e-05,2.284733548106309e-06
327,4.565689995437993e-05,2.2891727119474693e-06
328,4.528254276657482e-05,2.215578148320725e-06
329,4.4922562038513516e-05,2.201390593506799e-06
330,4.45520658633777e-05,2.165979815130458e-06
331,4.485961947155656e-05,2.1575137324084867e-06
332,4.5175526287195444e-05,2.199709099041241e-06
333,4.4444469588768725e-05,2.1241977665107114e-06
334,4.4911842133006264e-05,2.199641789164556e-06
335,4.4999609313276e-05,2.182932239627272e-06
336,4.4612051544457246e-05,2.156311360669634e-06
337,4.440165314091012e-05,2.161857000955577e-06
338,4.445621496242383e-05,2.112802468040214e-06
339,4.447904572395367e-05,2.0944420488207807e-06
340,4.409959843380635e-05,2.1717146163139947e-06
341,4.4831191527628445e-05,2.1773125520664265e-06
342,4.502813792935183e-05,2.1260983725657963e-06
343,4.454053756460708e-05,2.155055121213691e-06
344,4.5694846169438676e-05,2.2361036277930297e-06
345,4.4425527515581424e-05,2.172611654504415e-06
346,4.451151535618554e-05,2.140168126959479e-06
347,4.483002672465733e-05,2.183154304342669e-06
348,4.497460230102047e-05,2.2056167937320604e-06
349,4.405459373104427e-05,2.141902584321808e-06
350,4.441222716773552e-05,2.0879827734815813e-06
351,4.459738741570174e-05,2.1062325149258115e-06
352,4.2613042436004106e-05,2.1726143982158385e-06
353,4.4868399647694256e-05,2.117405020791433e-06
354,4.487685793318218e-05,2.1445681398848758e-06
355,4.41593270873185e-05,2.1330972414703638e-06
356,4.566197029315756e-05,2.236975858267652e-06
357,4.444844285170365e-05,2.1311354503161536e-06
358,4.565030207748667e-05,2.2419107362240975e-06
359,4.4679687727722715e-05,2.1248123650359263e-06
360,4.500271343061255e-05,2.18996926653785e-06
361,4.4412890808687965e-05,2.101237963540547e-06
362,4.3977512163136245e-05,2.137270538025988e-06
363,4.4829806253091614e-05,2.176763650022935e-06
364,4.509147071637971e-05,2.1543688023014033e-06
365,4.453900139077407e-05,2.177713670116614e-06
366,4.418448050268368e-05,2.132654654631282e-06
367,4.482568486597209e-05,2.116033260754056e-06
368,4.4458023127084923e-05,2.1798066709197636e-06
369,4.484129393937875e-05,2.1164373646806615e-06
370,4.481698946780134e-05,2.1297778714394994e-06
371,4.465950359295397e-05,2.1097846476627923e-06
372,4.5695401548284866e-05,2.2422644110384806e-06
373,4.478487930665054e-05,2.1674191334027697e-06
374,4.492709322908904e-05,2.137397787176023e-06
375,4.440808053901238e-05,2.1404617186682877e-06
376,4.580661827611156e-05,2.28197869210669e-06
377,4.4977896048465596e-05,2.1922529961080305e-06
378,4.565633696072899e-05,2.22916175187064e-06
379,4.591816026259626e-05,2.2873408121878036e-06
380,4.449800425999986e-05,2.1636976874909266e-06
381,4.4831342400714686e-05,2.1689218318997406e-06
382,4.4373631124265205e-05,2.119666559797886e-06
383,4.418348450137987e-05,2.133305497999464e-06
384,4.500271864707113e-05,2.1868693342642287e-06
