,L_1_values,L_inf_values
272,2.2058536565799724e-05,5.378063730428754e-07
273,2.205327798260544e-05,5.39304518887365e-07
274,2.2059712333651524e-05,5.397953138677757e-07
275,2.1998080141591576e-05,5.377249188865385e-07
276,2.2003342902548613e-05,5.3786630058281e-07
277,2.200483079274541e-05,5.394623823546898e-07
278,2.1984285062063918e-05,5.335008671312934e-07
279,2.198132618451663e-05,5.350230576096563e-07
280,2.1986125018298816e-05,5.353756623185606e-07
281,2.1991187107023062e-05,5.353762994738053e-07
282,2.197921142247919e-05,5.344466053897401e-07
283,2.1986121244309937e-05,5.34405933244074e-07
284,2.1999086702277533e-05,5.34963339242891e-07
285,2.1990875698607145e-05,5.302612319007013e-07
286,2.193362577149199e-05,5.265143717014793e-07
287,2.1927640297253815e-05,5.271884086671148e-07
288,2.1895841808631675e-05,5.258277761503984e-07
289,2.1885233365661923e-05,5.265302778470918e-07
290,2.189212937129555e-05,5.267344493864515e-07
291,2.189489955040609e-05,5.26931153417078e-07
292,2.1896715434231845e-05,5.271764352344231e-07
293,2.1893443593573595e-05,5.273347554268995e-07
294,2.189466147447099e-05,5.262990580146978e-07
295,2.1880332958583614e-05,5.255203285928506e-07
296,2.188824873347877e-05,5.253718516983581e-07
297,2.1894278075989316e-05,5.259466977403083e-07
298,2.188714825904925e-05,5.257287798776221e-07
299,2.188770635929187e-05,5.236196288190817e-07
300,2.1865701297491794e-05,5.230583229055734e-07
301,2.1864283167268536e-05,5.230855990675992e-07
302,2.1880968002074972e-05,5.303761932825621e-07
303,2.1873871745978354e-05,5.279545213699615e-07
304,2.1873871745978354e-05,5.279545213699615e-07
305,2.1860472493941106e-05,5.267261629603899e-07
306,2.187058867009773e-05,5.267924001856393e-07
307,2.1903411191614944e-05,5.255515599172755e-07
308,2.189421582459224e-05,5.256326422636188e-07
309,2.188755898061767e-05,5.274305046666775e-07
310,2.1897144595163443e-05,5.278143991047912e-07
311,2.1881778562255457e-05,5.28449732786035e-07
312,2.1864404105032236e-05,5.268938945434056e-07
313,2.186660530071142e-05,5.271138265824414e-07
314,2.1912910096799524e-05,5.221080111468374e-07
315,2.1902036559177748e-05,5.233654886550827e-07
316,2.190726957422208e-05,5.234874823156352e-07
317,2.1912587346063583e-05,5.209244939709642e-07
318,2.190921428334344e-05,5.212801537506202e-07
319,2.1904610412221084e-05,5.252212901262092e-07
320,2.190566013310504e-05,5.291594311200498e-07
321,2.189650283000378e-05,5.289588603003077e-07
322,2.189860142824897e-05,5.2884677119433e-07
323,2.189605009245937e-05,5.263962485690576e-07
324,2.1883812238343198e-05,5.261825225557934e-07
325,2.1885433042353818e-05,5.265074288345979e-07
326,2.1879443995745743e-05,5.264980830398909e-07
327,2.188467311349274e-05,5.264819274829978e-07
328,2.1856348290717263e-05,5.266107888378409e-07
329,2.1858072408371633e-05,5.267707603041793e-07
330,2.186148011153846e-05,5.228461868728352e-07
331,2.1868423243401235e-05,5.246399313980226e-07
332,2.1866610843681867e-05,5.229968909001837e-07
333,2.187554533740429e-05,5.23108599059369e-07
334,2.1862185271490378e-05,5.230653239609578e-07
335,2.187237946745619e-05,5.234922230781612e-07
336,2.18741319905035e-05,5.237389312531642e-07
337,2.1870037055769893e-05,5.238541763338521e-07
338,2.1875349407430516e-05,5.240077474113707e-07
339,2.187608986689442e-05,5.258838018008386e-07
340,2.186035150000589e-05,5.232340384652459e-07
341,2.1857344755962792e-05,5.231304396607942e-07
342,2.1858517302852972e-05,5.233630168135604e-07
343,2.185347594622017e-05,5.234571721857478e-07
344,2.1857555448724973e-05,5.235739588878685e-07
345,2.1859952654067186e-05,5.237316995380434e-07
346,2.1870394221215085e-05,5.238645456310834e-07
347,2.1859554554556432e-05,5.236946309348745e-07
348,2.185790928273432e-05,5.237577142128641e-07
349,2.185634227414196e-05,5.236088767366806e-07
350,2.1848298415020953e-05,5.221496982826067e-07
351,2.1840710756476932e-05,5.210915413892825e-07
352,2.185591195650303e-05,5.206096234045993e-07
353,2.186283930367243e-05,5.192071268742751e-07
354,2.188320101070035e-05,5.193422737982335e-07
355,2.1872413683909336e-05,5.07187705554127e-07
356,2.185905783554778e-05,4.941672332769835e-07
357,2.1855931318318292e-05,4.963220970225461e-07
358,2.182928163802458e-05,4.944968362168989e-07
359,2.1826166865287322e-05,4.966431611160475e-07
360,2.181705215764892e-05,4.9830883109767e-07
361,2.1812627586937487e-05,4.989421025633473e-07
362,2.1805234763916744e-05,4.999693535551466e-07
363,2.1789693470265553e-05,4.953712785944415e-07
364,2.1792146098021316e-05,4.950868026994679e-07
365,2.1797088418773813e-05,4.947444839527056e-07
366,2.1800529336638034e-05,4.95192535957096e-07
367,2.1790994315891646e-05,4.976914091063458e-07
368,2.1801093534376005e-05,4.963036086718811e-07
369,2.1800675102516815e-05,4.9571787412899e-07
370,2.1810576180780272e-05,4.913537245201336e-07
371,2.181422138827651e-05,4.915082764456861e-07
372,2.1804061720678827e-05,4.902912904063003e-07
373,2.1797547283880112e-05,4.919716318497424e-07
374,2.1796183421788818e-05,4.921756279117335e-07
375,2.180544050442339e-05,4.925906337217216e-07
376,2.181606916267672e-05,4.948176317395834e-07
377,2.180694537272011e-05,4.932130042514603e-07
378,2.1813845848684473e-05,4.96503279456826e-07
379,2.1807708295885203e-05,4.974164930775909e-07
380,2.1811000947289866e-05,4.973750985857493e-07
381,2.181761689848271e-05,4.972824948696586e-07
382,2.181971161025263e-05,4.9718785115693e-07
383,2.1831434607738214e-05,4.956983748388671e-07
384,2.181467298222249e-05,4.956919840802232e-07
385,2.1808901560265626e-05,4.990995089360861e-07
386,2.1813758824517463e-05,4.99149815172256e-07
387,2.180522860874642e-05,4.961591137065828e-07
388,2.1810656145674994e-05,4.964249279313402e-07
389,2.1809710807458724e-05,4.962621409661276e-07
390,2.177796121616002e-05,4.944349744252316e-07
391,2.1777639134056303e-05,4.946063885029345e-07
392,2.1765050597819245e-05,4.948888150705781e-07
393,2.1754174226972986e-05,4.953878831619448e-07
394,2.175623296588885e-05,4.977165034883642e-07
395,2.1771836788631935e-05,5.039980597286936e-07
396,2.177468807571879e-05,5.028784933897966e-07
397,2.1783203076680615e-05,5.011738503365848e-07
398,2.1795553496787778e-05,4.99518048483596e-07
399,2.1807954894871904e-05,4.978582252993096e-07
400,2.182224518801865e-05,4.946941299399329e-07
401,2.1831185808771152e-05,4.934596741885271e-07
402,2.1821720115253018e-05,4.897014948543414e-07
403,2.182211385520615e-05,4.896826638596394e-07
404,2.1818711939675267e-05,4.901392583301994e-07
405,2.1832771442872887e-05,4.965324116153002e-07
406,2.1817977032269435e-05,4.9612627132762e-07
407,2.181317411777048e-05,4.974985527220004e-07
408,2.1798752877597932e-05,4.98311041357899e-07
409,2.1790085125179007e-05,4.982222891385649e-07
410,2.179233643755214e-05,4.991296240189243e-07
411,2.1796942211701224e-05,4.979585303267254e-07
412,2.1802420079499634e-05,4.986892165117272e-07
413,2.1798851882242272e-05,4.998033668767261e-07
414,2.1803327725111644e-05,4.990288893858539e-07
415,2.180549092202154e-05,4.992235687406272e-07
416,2.1810014306795247e-05,4.993897800414093e-07
417,2.1809231807114127e-05,4.994706752944859e-07
418,2.1824148835621507e-05,4.989133614350938e-07
419,2.1840839196960655e-05,4.958597424006386e-07
420,2.1860620376588765e-05,4.933570642186975e-07
421,2.1859866086280146e-05,4.933884654360121e-07
422,2.185776734988108e-05,4.93730882664998e-07
423,2.1859369087669517e-05,4.940450459012427e-07
424,2.1780049925047442e-05,4.716545241872204e-07
425,2.177668114543584e-05,4.738930195952397e-07
426,2.175979983640362e-05,4.7044571478554534e-07
427,2.1757324126908996e-05,4.6991091940499594e-07
428,2.175787715491467e-05,4.699895762437016e-07
429,2.1761229743421197e-05,4.7002360057702405e-07
430,2.1745249321304568e-05,4.688532653936849e-07
431,2.1750540757496165e-05,4.6894076318739887e-07
432,2.174940966527513e-05,4.6901395473627035e-07
433,2.1737176930932916e-05,4.691768327325517e-07
434,2.1740890747197537e-05,4.69196571863396e-07
435,2.1734237827338243e-05,4.6758681848381486e-07
436,2.1736354604858786e-05,4.676829647752158e-07
437,2.1735943388616586e-05,4.692541204305421e-07
438,2.1721565334397596e-05,4.6899236214240245e-07
439,2.1738222883475694e-05,4.695451534708759e-07
440,2.1741402119846994e-05,4.6956477178188333e-07
441,2.1744628555189123e-05,4.6939242474314155e-07
442,2.174774220542089e-05,4.6946652560627477e-07
443,2.1740403088459585e-05,4.7017551332051533e-07
444,2.1745374448856273e-05,4.69692306598736e-07
445,2.1739829438877132e-05,4.6959932383584693e-07
446,2.174319922313746e-05,4.6980639695028547e-07
447,2.174516630604809e-05,4.708461261506563e-07
448,2.1742460475276568e-05,4.697043906989834e-07
449,2.1742838174159517e-05,4.69809847189045e-07
450,2.1756136684423128e-05,4.681586969783384e-07
451,2.175769308782618e-05,4.672747051789982e-07
452,2.174623006449442e-05,4.659320995953817e-07
453,2.1735190853721263e-05,4.64063092199416e-07
454,2.1730652388188976e-05,4.661981607882429e-07
455,2.1725727289245998e-05,4.684273511351266e-07
456,2.17271332616012e-05,4.687961911013398e-07
457,2.1725185859060025e-05,4.6870432213379697e-07
458,2.1716359876382333e-05,4.676559389812375e-07
459,2.1720689077964965e-05,4.6782451550787173e-07
460,2.1707997707872486e-05,4.6796066242017856e-07
461,2.171288761353116e-05,4.6835621517235736e-07
462,2.17075755584637e-05,4.6856601819673973e-07
463,2.1709179007047112e-05,4.6844646802724994e-07
464,2.1710361269280215e-05,4.671593569785559e-07
465,2.1716417226184466e-05,4.6710568582094806e-07
466,2.17115662408391e-05,4.6965875938963763e-07
467,2.1698941292195134e-05,4.689405791211602e-07
468,2.1710252776829355e-05,4.691475447432053e-07
469,2.171569452564173e-05,4.721309622200985e-07
470,2.1708313485285873e-05,4.7230959964244855e-07
471,2.1696925165911678e-05,4.7164924908260445e-07
472,2.1694531630192914e-05,4.718286866798536e-07
473,2.169849009503632e-05,4.7193004070442924e-07
474,2.1689766796844416e-05,4.716600338160462e-07
475,2.169475445821919e-05,4.7230161002856643e-07
476,2.1687822347434934e-05,4.7218067041026113e-07
477,2.1693616319438136e-05,4.7225890251096406e-07
478,2.170235854723654e-05,4.722497360999875e-07
479,2.1714750709848532e-05,4.726252390094403e-07
480,2.1710171692445763e-05,4.726882757971127e-07
481,2.1715063613829226e-05,4.7287524375638966e-07
482,2.1699298991951633e-05,4.6589845873905e-07
